,all,1,2,3,4,5
x1,0.8985051095465317,0.940406937831324,0.9624535228422245,0.3374403401165288,0.9306418545405156,0.0
x2,0.9796167778001762,0.9921028291510194,0.9955146969902577,0.6768704018762768,0.989717397896028,0.0
x3,0.9249514258929438,0.8954765400626549,0.8724307043449234,0.9968870547919444,0.903595454918159,0.0
x4,0.966165271131621,0.9663721790657178,0.962547216557964,0.7953932639767052,0.9669731125192204,0.0
x5,0.26733151090471796,0.22354187895661126,0.1928270959341004,0.5222812226561708,0.2350380483274972,0.994472122044554
y1,0.9036187199598484,0.9265172025449127,0.9208570559586521,0.9284388259361342,0.5403096442364823,0.1522332915786263
y2,0.9526809908318664,0.9788460912035908,0.9761347471253498,0.8990253497479632,0.8019266669938073,0.0
y3,0.9380036690047598,0.8967077933411332,0.8811680464438716,0.9678352475372108,0.5036084353167569,0.42903086885255115
y4,0.9857542510664434,0.9722552049630749,0.9592782154237861,0.915053752426853,0.9763745701166239,0.0
y5,0.8121042003488291,0.7175368430743326,0.6996879597818166,0.7836903303738461,0.0,0.943294459928069
mean,0.8628731926487738,0.8509763500194371,0.8422899261402946,0.7822915789439634,0.6848185184865091,0.25190307424038005
SD,0.20423981628840215,0.22215942734684063,0.23123790551566709,0.20245357548353618,0.3323529803279866,0.3809816416876907
